Index,Random,Target_PDF,PDF,Social_PS,JPSP_Section,Journal,Year,Title,Journal_full,num_studiesa,na,DA,commentsa,codera,num_studiesb,nb,DB,commentsb,coderb,coder_dif,coder_disagree,ChrisResolve,ChrisNotes,ChrisD,N,D
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,99,b,,Guan,1,99,b,,Anthony,0,0,NA,,,99,b
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
13,1,1,1,NA,,EJP,2015,Understanding the dark side of costly punishment: The impact of individual differences in everyday sadism and existential threat,European Journal of Personality,1,NA,,,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,40174,b,super large samples,Guan,1,40174,b,,Anthony,0,0,NA,,,40174,b
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,70760,b,super large samples,Guan,1,70760,b,,Anthony,0,0,NA,,,70760,b
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
10,2,2,2,NA,,EJP,2015,Sex differences in variability in vocational interests: Evidence from two large samples,European Journal of Personality,2,NA,,super large samples,Guan,1,NA,,,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,117,b,,Guan,2,117,b,Orginally missing but PDF downloaded and added to folder,Anthony,0,0,NA,,,117,b
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,367,b,,Guan,2,367,b,Orginally missing but PDF downloaded and added to folder,Anthony,0,0,NA,,,367,b
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
42,3,3,3,NA,,EJP,2015,Differential effects of Right?Wing Authoritarianism and Social Dominance Orientation on dimensions of generalized prejudice in Brazil,European Journal of Personality,1,NA,,,Guan,2,NA,,Orginally missing but PDF downloaded and added to folder,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,908,m,,Guan,1,908,m,Latent growth curve model,Anthony,0,0,NA,,,908,m
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
2,4,4,4,NA,,EJP,2015,Coping with unemployment: The impact of unemployment duration and personality on trajectories of life satisfaction,European Journal of Personality,1,NA,,,Guan,1,NA,,Latent growth curve model,Anthony,NA,NA,NA,,,NA,NA
12,5,5,5,NA,,EJP,2015,"Different games for different motives: Comment on Haesevoets, Folmer, and Van Hiel (2015)",European Journal of Personality,NA,NA,,,Guan,0,NA,,Commentary on another article,Anthony,NA,NA,NA,,,NA,NA
12,5,5,5,NA,,EJP,2015,"Different games for different motives: Comment on Haesevoets, Folmer, and Van Hiel (2015)",European Journal of Personality,NA,NA,,,Guan,0,NA,,Commentary on another article,Anthony,NA,NA,NA,,,NA,NA
12,5,5,5,NA,,EJP,2015,"Different games for different motives: Comment on Haesevoets, Folmer, and Van Hiel (2015)",European Journal of Personality,NA,NA,,,Guan,0,NA,,Commentary on another article,Anthony,NA,NA,NA,,,NA,NA
12,5,5,5,NA,,EJP,2015,"Different games for different motives: Comment on Haesevoets, Folmer, and Van Hiel (2015)",European Journal of Personality,NA,NA,,,Guan,0,NA,,Commentary on another article,Anthony,NA,NA,NA,,,NA,NA
